financial_year,council_area,sex,age_group,number_of_people
2018/19,South Ayrshire,Male,65-74,41
2018/19,South Ayrshire,Male,75-84,109
2018/19,South Ayrshire,Male,85-94,94
2018/19,South Ayrshire,Male,95 and Older,23
2018/19,South Lanarkshire,Female,18-64,90
2018/19,South Lanarkshire,Female,65-74,129
2018/19,South Lanarkshire,Female,75-84,409
2018/19,South Lanarkshire,Female,85-94,685
2018/19,South Lanarkshire,Female,95 and Older,147
2018/19,South Lanarkshire,Male,18-64,170
2018/19,South Lanarkshire,Male,65-74,167
2018/19,South Lanarkshire,Male,75-84,217
2018/19,South Lanarkshire,Male,85-94,184
2018/19,South Lanarkshire,Male,95 and Older,31
2018/19,Stirling,Female,18-64,27
2018/19,Stirling,Female,65-74,17
2018/19,Stirling,Female,75-84,47
2018/19,Stirling,Female,85-94,106
2018/19,Stirling,Female,95 and Older,42
2018/19,Stirling,Male,18-64,106
2018/19,Stirling,Male,65-74,27
2018/19,Stirling,Male,75-84,35
2018/19,Stirling,Male,85-94,46
2018/19,Stirling,Male,95 and Older,7
2018/19,West Dunbartonshire,Female,65-74,37
2018/19,West Dunbartonshire,Female,75-84,118
2018/19,West Dunbartonshire,Female,85-94,176
2018/19,West Dunbartonshire,Male,65-74,30
2018/19,West Dunbartonshire,Male,75-84,58
2018/19,West Dunbartonshire,Male,85-94,37
2018/19,West Lothian,Female,18-64,39
2018/19,West Lothian,Female,65-74,45
2018/19,West Lothian,Female,75-84,208
2018/19,West Lothian,Female,85-94,252
2018/19,West Lothian,Female,95 and Older,58
2018/19,West Lothian,Male,18-64,31
2018/19,West Lothian,Male,65-74,27
2018/19,West Lothian,Male,75-84,92
2018/19,West Lothian,Male,85-94,91
2018/19,West Lothian,Male,95 and Older,9
2020/21,Aberdeen City,Female,18-64,93
2020/21,Aberdeen City,Female,65-74,82
2020/21,Aberdeen City,Female,75-84,217
2020/21,Aberdeen City,Female,85-94,396
2020/21,Aberdeen City,Female,95 and Older,84
2020/21,Aberdeen City,Male,18-64,108
2020/21,Aberdeen City,Male,65-74,67
2020/21,Aberdeen City,Male,75-84,101
2020/21,Aberdeen City,Male,85-94,92
2020/21,Aberdeen City,Male,95 and Older,7
2020/21,Aberdeenshire,Female,18-64,73
2020/21,Aberdeenshire,Female,65-74,88
2020/21,Aberdeenshire,Female,75-84,246
2020/21,Aberdeenshire,Female,85-94,497
2020/21,Aberdeenshire,Female,95 and Older,129
2020/21,Aberdeenshire,Male,18-64,79
2020/21,Aberdeenshire,Male,65-74,74
2020/21,Aberdeenshire,Male,75-84,144
2020/21,Aberdeenshire,Male,85-94,185
2020/21,Aberdeenshire,Male,95 and Older,30
2020/21,Angus,Female,18-64,32
2020/21,Angus,Female,65-74,55
2020/21,Angus,Female,75-84,162
2020/21,Angus,Female,85-94,316
2020/21,Angus,Female,95 and Older,112
2020/21,Angus,Male,18-64,33
2020/21,Angus,Male,65-74,33
2020/21,Angus,Male,75-84,68
2020/21,Angus,Male,85-94,91
2020/21,Angus,Male,95 and Older,9
2020/21,Argyll and Bute,Female,75-84,89
2020/21,Argyll and Bute,Female,85-94,184
2020/21,Argyll and Bute,Male,75-84,50
2020/21,Argyll and Bute,Male,85-94,41
2020/21,City of Edinburgh,Female,18-64,61
2020/21,City of Edinburgh,Female,65-74,110
2020/21,City of Edinburgh,Female,75-84,476
2020/21,City of Edinburgh,Female,85-94,894
2020/21,City of Edinburgh,Female,95 and Older,222
2020/21,City of Edinburgh,Male,18-64,73
2020/21,City of Edinburgh,Male,65-74,104
2020/21,City of Edinburgh,Male,75-84,227
2020/21,City of Edinburgh,Male,85-94,282
2020/21,City of Edinburgh,Male,95 and Older,54
2020/21,Clackmannanshire,Female,18-64,39
2020/21,Clackmannanshire,Female,75-84,45
2020/21,Clackmannanshire,Female,85-94,52
2020/21,Clackmannanshire,Male,18-64,47
2020/21,Clackmannanshire,Male,75-84,34
2020/21,Clackmannanshire,Male,85-94,20
2020/21,Dumfries and Galloway,Female,18-64,11
2020/21,Dumfries and Galloway,Female,65-74,59
2020/21,Dumfries and Galloway,Female,75-84,216
2020/21,Dumfries and Galloway,Female,85-94,299
2020/21,Dumfries and Galloway,Female,95 and Older,88
2020/21,Dumfries and Galloway,Male,18-64,49
2020/21,Dumfries and Galloway,Male,65-74,59
2020/21,Dumfries and Galloway,Male,75-84,95
2020/21,Dumfries and Galloway,Male,85-94,95
2020/21,Dumfries and Galloway,Male,95 and Older,10
2020/21,Dundee City,Female,18-64,26
2020/21,Dundee City,Female,65-74,59
2020/21,Dundee City,Female,75-84,189
2020/21,Dundee City,Female,85-94,291
2020/21,Dundee City,Female,95 and Older,54
2020/21,Dundee City,Male,18-64,26
2020/21,Dundee City,Male,65-74,42
2020/21,Dundee City,Male,75-84,89
2020/21,Dundee City,Male,85-94,108
2020/21,Dundee City,Male,95 and Older,13
2020/21,East Ayrshire,Female,18-64,28
2020/21,East Ayrshire,Female,65-74,36
2020/21,East Ayrshire,Female,75-84,159
2020/21,East Ayrshire,Female,85-94,224
2020/21,East Ayrshire,Female,95 and Older,63
2020/21,East Ayrshire,Male,18-64,44
2020/21,East Ayrshire,Male,65-74,53
2020/21,East Ayrshire,Male,75-84,80
2020/21,East Ayrshire,Male,85-94,59
2020/21,East Ayrshire,Male,95 and Older,9
2020/21,East Dunbartonshire,Female,18-64,7
2020/21,East Dunbartonshire,Female,65-74,27
2020/21,East Dunbartonshire,Female,75-84,136
2020/21,East Dunbartonshire,Female,85-94,239
2020/21,East Dunbartonshire,Female,95 and Older,42
2020/21,East Dunbartonshire,Male,18-64,10
2020/21,East Dunbartonshire,Male,65-74,27
2020/21,East Dunbartonshire,Male,75-84,49
2020/21,East Dunbartonshire,Male,85-94,50
2020/21,East Dunbartonshire,Male,95 and Older,11
2020/21,East Lothian,Female,75-84,117
2020/21,East Lothian,Female,85-94,183
2020/21,East Lothian,Female,95 and Older,56
2020/21,East Lothian,Male,75-84,62
2020/21,East Lothian,Male,85-94,72
2020/21,East Lothian,Male,95 and Older,10
2020/21,East Renfrewshire,Female,18-64,46
2020/21,East Renfrewshire,Female,65-74,33
2020/21,East Renfrewshire,Female,75-84,118
2020/21,East Renfrewshire,Female,85-94,183
2020/21,East Renfrewshire,Female,95 and Older,55
2020/21,East Renfrewshire,Male,18-64,63
2020/21,East Renfrewshire,Male,65-74,33
2020/21,East Renfrewshire,Male,75-84,37
2020/21,East Renfrewshire,Male,85-94,39
2020/21,East Renfrewshire,Male,95 and Older,9
2020/21,Falkirk,Female,18-64,35
2020/21,Falkirk,Female,65-74,55
2020/21,Falkirk,Female,75-84,213
2020/21,Falkirk,Female,85-94,266
2020/21,Falkirk,Female,95 and Older,47
2020/21,Falkirk,Male,18-64,43
2020/21,Falkirk,Male,65-74,35
2020/21,Falkirk,Male,75-84,92
2020/21,Falkirk,Male,85-94,83
2020/21,Falkirk,Male,95 and Older,9
2020/21,Fife,Female,18-64,109
2020/21,Fife,Female,65-74,191
2020/21,Fife,Female,75-84,468
2020/21,Fife,Female,85-94,771
2020/21,Fife,Female,95 and Older,221
2020/21,Fife,Male,18-64,109
2020/21,Fife,Male,65-74,125
2020/21,Fife,Male,75-84,239
2020/21,Fife,Male,85-94,212
2020/21,Fife,Male,95 and Older,23
2020/21,Glasgow City,Female,18-64,200
2020/21,Glasgow City,Female,65-74,249
2020/21,Glasgow City,Female,75-84,662
2020/21,Glasgow City,Female,85-94,947
2020/21,Glasgow City,Female,95 and Older,266
2020/21,Glasgow City,Male,18-64,301
2020/21,Glasgow City,Male,65-74,269
2020/21,Glasgow City,Male,75-84,407
2020/21,Glasgow City,Male,85-94,254
2020/21,Glasgow City,Male,95 and Older,40
2020/21,Highland,Female,18-64,108
2020/21,Highland,Female,65-74,89
2020/21,Highland,Female,75-84,280
2020/21,Highland,Female,85-94,501
2020/21,Highland,Female,95 and Older,146
2020/21,Highland,Male,18-64,115
2020/21,Highland,Male,65-74,93
2020/21,Highland,Male,75-84,169
2020/21,Highland,Male,85-94,181
2020/21,Highland,Male,95 and Older,31
2020/21,Inverclyde,Female,18-64,28
2020/21,Inverclyde,Female,65-74,41
2020/21,Inverclyde,Female,75-84,130
2020/21,Inverclyde,Female,85-94,186
2020/21,Inverclyde,Female,95 and Older,45
2020/21,Inverclyde,Male,18-64,31
2020/21,Inverclyde,Male,65-74,29
2020/21,Inverclyde,Male,75-84,69
2020/21,Inverclyde,Male,85-94,50
2020/21,Inverclyde,Male,95 and Older,6
2020/21,Midlothian,Female,18-64,51
2020/21,Midlothian,Female,65-74,35
2020/21,Midlothian,Female,75-84,85
2020/21,Midlothian,Female,85-94,112
2020/21,Midlothian,Female,95 and Older,16
2020/21,Midlothian,Male,18-64,26
2020/21,Midlothian,Male,65-74,32
2020/21,Midlothian,Male,75-84,40
2020/21,Midlothian,Male,85-94,38
2020/21,Midlothian,Male,95 and Older,5
2020/21,Moray,Female,75-84,111
2020/21,Moray,Female,85-94,152
2020/21,Moray,Male,75-84,65
2020/21,Moray,Male,85-94,67
2020/21,Na h-Eileanan Siar,Female,18-64,9
2020/21,Na h-Eileanan Siar,Female,65-74,13
2020/21,Na h-Eileanan Siar,Female,75-84,41
2020/21,Na h-Eileanan Siar,Female,85-94,73
2020/21,Na h-Eileanan Siar,Female,95 and Older,11
2020/21,Na h-Eileanan Siar,Male,18-64,5
2020/21,Na h-Eileanan Siar,Male,65-74,7
2020/21,Na h-Eileanan Siar,Male,75-84,29
2020/21,Na h-Eileanan Siar,Male,85-94,14
2020/21,Na h-Eileanan Siar,Male,95 and Older,0
2020/21,North Ayrshire,Female,18-64,37
2020/21,North Ayrshire,Female,65-74,57
2020/21,North Ayrshire,Female,75-84,195
2020/21,North Ayrshire,Female,85-94,224
2020/21,North Ayrshire,Female,95 and Older,46
2020/21,North Ayrshire,Male,18-64,49
2020/21,North Ayrshire,Male,65-74,63
2020/21,North Ayrshire,Male,75-84,91
2020/21,North Ayrshire,Male,85-94,60
2020/21,North Ayrshire,Male,95 and Older,5
2020/21,North Lanarkshire,Female,18-64,30
2020/21,North Lanarkshire,Female,65-74,98
2020/21,North Lanarkshire,Female,75-84,328
2020/21,North Lanarkshire,Female,85-94,411
2020/21,North Lanarkshire,Female,95 and Older,62
2020/21,North Lanarkshire,Male,18-64,84
2020/21,North Lanarkshire,Male,65-74,98
2020/21,North Lanarkshire,Male,75-84,129
2020/21,North Lanarkshire,Male,85-94,89
2020/21,North Lanarkshire,Male,95 and Older,9
2020/21,Orkney Islands,Female,75-84,15
2020/21,Orkney Islands,Female,85-94,46
2020/21,Orkney Islands,Male,75-84,11
2020/21,Orkney Islands,Male,85-94,9
2020/21,Perth and Kinross,Female,18-64,80
2020/21,Perth and Kinross,Female,65-74,56
2020/21,Perth and Kinross,Female,75-84,209
2020/21,Perth and Kinross,Female,85-94,403
2020/21,Perth and Kinross,Female,95 and Older,110
2020/21,Perth and Kinross,Male,18-64,120
2020/21,Perth and Kinross,Male,65-74,55
2020/21,Perth and Kinross,Male,75-84,101
2020/21,Perth and Kinross,Male,85-94,117
2020/21,Perth and Kinross,Male,95 and Older,22
2020/21,Renfrewshire,Female,18-64,41
2020/21,Renfrewshire,Female,65-74,71
2020/21,Renfrewshire,Female,75-84,206
2020/21,Renfrewshire,Female,85-94,364
2020/21,Renfrewshire,Female,95 and Older,83
2020/21,Renfrewshire,Male,18-64,56
2020/21,Renfrewshire,Male,65-74,67
2020/21,Renfrewshire,Male,75-84,133
2020/21,Renfrewshire,Male,85-94,94
2020/21,Renfrewshire,Male,95 and Older,12
2020/21,Scotland,Female,18-64,1398
2020/21,Scotland,Female,65-74,1964
2020/21,Scotland,Female,75-84,6192
2020/21,Scotland,Female,85-94,9801
2020/21,Scotland,Female,95 and Older,2469
2020/21,Scotland,Male,18-64,1863
2020/21,Scotland,Male,65-74,1753
2020/21,Scotland,Male,75-84,3117
2020/21,Scotland,Male,85-94,2886
2020/21,Scotland,Male,95 and Older,420
2020/21,Scottish Borders,Female,18-64,23
2020/21,Scottish Borders,Female,65-74,33
2020/21,Scottish Borders,Female,75-84,105
2020/21,Scottish Borders,Female,85-94,213
2020/21,Scottish Borders,Female,95 and Older,67
2020/21,Scottish Borders,Male,18-64,35
2020/21,Scottish Borders,Male,65-74,15
2020/21,Scottish Borders,Male,75-84,50
2020/21,Scottish Borders,Male,85-94,51
2020/21,Scottish Borders,Male,95 and Older,20
2020/21,Shetland Islands,Female,75-84,12
2020/21,Shetland Islands,Female,85-94,28
2020/21,Shetland Islands,Male,75-84,10
2020/21,Shetland Islands,Male,85-94,17
2020/21,South Ayrshire,Female,18-64,48
2020/21,South Ayrshire,Female,65-74,58
2020/21,South Ayrshire,Female,75-84,192
2020/21,South Ayrshire,Female,85-94,278
2020/21,South Ayrshire,Female,95 and Older,86
2020/21,South Ayrshire,Male,18-64,42
2020/21,South Ayrshire,Male,65-74,42
2020/21,South Ayrshire,Male,75-84,90
2020/21,South Ayrshire,Male,85-94,88
2020/21,South Ayrshire,Male,95 and Older,21
2020/21,South Lanarkshire,Female,18-64,92
2020/21,South Lanarkshire,Female,65-74,120
2020/21,South Lanarkshire,Female,75-84,370
2020/21,South Lanarkshire,Female,85-94,586
2020/21,South Lanarkshire,Female,95 and Older,145
2020/21,South Lanarkshire,Male,18-64,179
2020/21,South Lanarkshire,Male,65-74,147
2020/21,South Lanarkshire,Male,75-84,186
2020/21,South Lanarkshire,Male,85-94,162
2020/21,South Lanarkshire,Male,95 and Older,27
2020/21,Stirling,Female,18-64,44
2020/21,Stirling,Female,65-74,34
2020/21,Stirling,Female,85-94,84
2020/21,Stirling,Male,18-64,105
2020/21,Stirling,Male,65-74,44
2020/21,Stirling,Male,85-94,44
2020/21,West Dunbartonshire,Female,65-74,35
2020/21,West Dunbartonshire,Female,75-84,137
2020/21,West Dunbartonshire,Female,85-94,166
2020/21,West Dunbartonshire,Male,65-74,22
2020/21,West Dunbartonshire,Male,75-84,40
2020/21,West Dunbartonshire,Male,85-94,39
2020/21,West Lothian,Female,18-64,35
2020/21,West Lothian,Female,65-74,77
2020/21,West Lothian,Female,75-84,203
2020/21,West Lothian,Female,85-94,200
2020/21,West Lothian,Female,95 and Older,46
2020/21,West Lothian,Male,18-64,21
2020/21,West Lothian,Male,65-74,39
2020/21,West Lothian,Male,75-84,95
2020/21,West Lothian,Male,85-94,70
2020/21,West Lothian,Male,95 and Older,9
2021/22,Aberdeen City,Female,18-64,112
2021/22,Aberdeen City,Female,65-74,89
2021/22,Aberdeen City,Female,75-84,234
2021/22,Aberdeen City,Female,85-94,391
2021/22,Aberdeen City,Female,95 and Older,91
2021/22,Aberdeen City,Male,18-64,122
2021/22,Aberdeen City,Male,65-74,76
2021/22,Aberdeen City,Male,75-84,118
2021/22,Aberdeen City,Male,85-94,122
2021/22,Aberdeen City,Male,95 and Older,10
2021/22,Aberdeenshire,Female,18-64,74
2021/22,Aberdeenshire,Female,65-74,91
2021/22,Aberdeenshire,Female,75-84,310
2021/22,Aberdeenshire,Female,85-94,479
2021/22,Aberdeenshire,Female,95 and Older,120
2021/22,Aberdeenshire,Male,18-64,86
2021/22,Aberdeenshire,Male,65-74,76
2021/22,Aberdeenshire,Male,75-84,144
2021/22,Aberdeenshire,Male,85-94,167
2021/22,Aberdeenshire,Male,95 and Older,20
2021/22,Angus,Female,18-64,40
2021/22,Angus,Female,65-74,48
2021/22,Angus,Female,75-84,158
2021/22,Angus,Female,85-94,345
2021/22,Angus,Female,95 and Older,112
2021/22,Angus,Male,18-64,37
2021/22,Angus,Male,65-74,35
2021/22,Angus,Male,75-84,66
2021/22,Angus,Male,85-94,86
2021/22,Angus,Male,95 and Older,12
2021/22,Argyll and Bute,Female,75-84,84
2021/22,Argyll and Bute,Female,85-94,168
2021/22,Argyll and Bute,Male,75-84,43
2021/22,Argyll and Bute,Male,85-94,50
2021/22,City of Edinburgh,Female,18-64,77
2021/22,City of Edinburgh,Female,65-74,113
2021/22,City of Edinburgh,Female,75-84,455
2021/22,City of Edinburgh,Female,85-94,894
2021/22,City of Edinburgh,Female,95 and Older,231
2021/22,City of Edinburgh,Male,18-64,79
2021/22,City of Edinburgh,Male,65-74,109
2021/22,City of Edinburgh,Male,75-84,232
2021/22,City of Edinburgh,Male,85-94,274
2021/22,City of Edinburgh,Male,95 and Older,43
2021/22,Clackmannanshire,Female,18-64,44
2021/22,Clackmannanshire,Female,65-74,16
2021/22,Clackmannanshire,Female,75-84,49
2021/22,Clackmannanshire,Male,18-64,61
2021/22,Clackmannanshire,Male,65-74,21
2021/22,Clackmannanshire,Male,75-84,28
2021/22,Dumfries and Galloway,Female,18-64,15
2021/22,Dumfries and Galloway,Female,65-74,41
2021/22,Dumfries and Galloway,Female,75-84,177
2021/22,Dumfries and Galloway,Female,85-94,272
2021/22,Dumfries and Galloway,Female,95 and Older,68
2021/22,Dumfries and Galloway,Male,18-64,43
2021/22,Dumfries and Galloway,Male,65-74,45
2021/22,Dumfries and Galloway,Male,75-84,108
2021/22,Dumfries and Galloway,Male,85-94,111
2021/22,Dumfries and Galloway,Male,95 and Older,10
2021/22,Dundee City,Female,18-64,13
2021/22,Dundee City,Female,65-74,55
2021/22,Dundee City,Female,75-84,188
2021/22,Dundee City,Female,85-94,311
2021/22,Dundee City,Female,95 and Older,53
2021/22,Dundee City,Male,18-64,14
2021/22,Dundee City,Male,65-74,46
2021/22,Dundee City,Male,75-84,98
2021/22,Dundee City,Male,85-94,98
2021/22,Dundee City,Male,95 and Older,11
2021/22,East Ayrshire,Female,18-64,33
2021/22,East Ayrshire,Female,65-74,39
2021/22,East Ayrshire,Female,75-84,182
2021/22,East Ayrshire,Female,85-94,196
2021/22,East Ayrshire,Female,95 and Older,49
2021/22,East Ayrshire,Male,18-64,47
2021/22,East Ayrshire,Male,65-74,58
2021/22,East Ayrshire,Male,75-84,89
2021/22,East Ayrshire,Male,85-94,58
2021/22,East Ayrshire,Male,95 and Older,12
2021/22,East Dunbartonshire,Female,18-64,8
2021/22,East Dunbartonshire,Female,65-74,30
2021/22,East Dunbartonshire,Female,75-84,142
2021/22,East Dunbartonshire,Female,85-94,248
2021/22,East Dunbartonshire,Female,95 and Older,62
2021/22,East Dunbartonshire,Male,18-64,6
2021/22,East Dunbartonshire,Male,65-74,24
2021/22,East Dunbartonshire,Male,75-84,55
2021/22,East Dunbartonshire,Male,85-94,77
2021/22,East Dunbartonshire,Male,95 and Older,10
2021/22,East Lothian,Female,18-64,0
2021/22,East Lothian,Female,65-74,29
2021/22,East Lothian,Female,75-84,98
2021/22,East Lothian,Female,85-94,184
2021/22,East Lothian,Female,95 and Older,71
2021/22,East Lothian,Male,18-64,5
2021/22,East Lothian,Male,65-74,24
2021/22,East Lothian,Male,75-84,55
2021/22,East Lothian,Male,85-94,76
2021/22,East Lothian,Male,95 and Older,18
2021/22,East Renfrewshire,Female,18-64,7
2021/22,East Renfrewshire,Female,65-74,15
2021/22,East Renfrewshire,Female,75-84,112
2021/22,East Renfrewshire,Female,85-94,179
2021/22,East Renfrewshire,Female,95 and Older,51
2021/22,East Renfrewshire,Male,18-64,0
2021/22,East Renfrewshire,Male,65-74,20
2021/22,East Renfrewshire,Male,75-84,51
2021/22,East Renfrewshire,Male,85-94,48
2021/22,East Renfrewshire,Male,95 and Older,5
2021/22,Falkirk,Female,18-64,52
2021/22,Falkirk,Female,65-74,51
2021/22,Falkirk,Female,75-84,202
2021/22,Falkirk,Female,85-94,254
2021/22,Falkirk,Female,95 and Older,51
2021/22,Falkirk,Male,18-64,69
2021/22,Falkirk,Male,65-74,39
2021/22,Falkirk,Male,75-84,78
2021/22,Falkirk,Male,85-94,87
2021/22,Falkirk,Male,95 and Older,13
2021/22,Fife,Female,18-64,118
2021/22,Fife,Female,65-74,168
2021/22,Fife,Female,75-84,485
2021/22,Fife,Female,85-94,818
2021/22,Fife,Female,95 and Older,187
2021/22,Fife,Male,18-64,131
2021/22,Fife,Male,65-74,133
2021/22,Fife,Male,75-84,227
2021/22,Fife,Male,85-94,229
2021/22,Fife,Male,95 and Older,21
2021/22,Glasgow City,Female,18-64,213
2021/22,Glasgow City,Female,65-74,261
2021/22,Glasgow City,Female,75-84,658
2021/22,Glasgow City,Female,85-94,920
2021/22,Glasgow City,Female,95 and Older,203
2021/22,Glasgow City,Male,18-64,386
2021/22,Glasgow City,Male,65-74,272
2021/22,Glasgow City,Male,75-84,424
2021/22,Glasgow City,Male,85-94,249
2021/22,Glasgow City,Male,95 and Older,38
2021/22,Highland,Female,18-64,102
2021/22,Highland,Female,65-74,83
2021/22,Highland,Female,75-84,314
2021/22,Highland,Female,85-94,503
2021/22,Highland,Female,95 and Older,132
2021/22,Highland,Male,18-64,121
2021/22,Highland,Male,65-74,78
2021/22,Highland,Male,75-84,165
2021/22,Highland,Male,85-94,177
2021/22,Highland,Male,95 and Older,36
2021/22,Inverclyde,Female,18-64,37
2021/22,Inverclyde,Female,75-84,131
2021/22,Inverclyde,Female,85-94,165
2021/22,Inverclyde,Male,18-64,45
2021/22,Inverclyde,Male,75-84,73
2021/22,Inverclyde,Male,85-94,58
2021/22,Midlothian,Female,18-64,38
2021/22,Midlothian,Female,65-74,44
2021/22,Midlothian,Female,75-84,89
2021/22,Midlothian,Female,85-94,118
2021/22,Midlothian,Female,95 and Older,24
2021/22,Midlothian,Male,18-64,30
2021/22,Midlothian,Male,65-74,24
2021/22,Midlothian,Male,75-84,49
2021/22,Midlothian,Male,85-94,30
2021/22,Midlothian,Male,95 and Older,8
2021/22,Moray,Female,18-64,9
2021/22,Moray,Female,65-74,31
2021/22,Moray,Female,75-84,121
2021/22,Moray,Female,85-94,152
2021/22,Moray,Female,95 and Older,47
2021/22,Moray,Male,18-64,7
2021/22,Moray,Male,65-74,25
2021/22,Moray,Male,75-84,56
2021/22,Moray,Male,85-94,56
2021/22,Moray,Male,95 and Older,7
2021/22,Na h-Eileanan Siar,Female,65-74,8
2021/22,Na h-Eileanan Siar,Female,75-84,39
2021/22,Na h-Eileanan Siar,Female,85-94,70
2021/22,Na h-Eileanan Siar,Male,65-74,14
2021/22,Na h-Eileanan Siar,Male,75-84,18
2021/22,Na h-Eileanan Siar,Male,85-94,10
2021/22,North Ayrshire,Female,18-64,27
2021/22,North Ayrshire,Female,65-74,43
2021/22,North Ayrshire,Female,75-84,184
2021/22,North Ayrshire,Female,85-94,239
2021/22,North Ayrshire,Female,95 and Older,51
2021/22,North Ayrshire,Male,18-64,47
2021/22,North Ayrshire,Male,65-74,53
2021/22,North Ayrshire,Male,75-84,84
2021/22,North Ayrshire,Male,85-94,63
2021/22,North Ayrshire,Male,95 and Older,6
2021/22,North Lanarkshire,Female,18-64,28
2021/22,North Lanarkshire,Female,65-74,91
2021/22,North Lanarkshire,Female,75-84,348
2021/22,North Lanarkshire,Female,85-94,426
2021/22,North Lanarkshire,Female,95 and Older,80
2021/22,North Lanarkshire,Male,18-64,59
2021/22,North Lanarkshire,Male,65-74,77
2021/22,North Lanarkshire,Male,75-84,158
2021/22,North Lanarkshire,Male,85-94,118
2021/22,North Lanarkshire,Male,95 and Older,15
2021/22,Orkney Islands,Female,75-84,16
2021/22,Orkney Islands,Female,85-94,41
2021/22,Orkney Islands,Male,75-84,9
2021/22,Orkney Islands,Male,85-94,8
2021/22,Perth and Kinross,Female,18-64,61
2021/22,Perth and Kinross,Female,65-74,70
2021/22,Perth and Kinross,Female,75-84,195
2021/22,Perth and Kinross,Female,85-94,382
2021/22,Perth and Kinross,Female,95 and Older,100
2021/22,Perth and Kinross,Male,18-64,96
2021/22,Perth and Kinross,Male,65-74,55
2021/22,Perth and Kinross,Male,75-84,117
2021/22,Perth and Kinross,Male,85-94,118
2021/22,Perth and Kinross,Male,95 and Older,20
2021/22,Renfrewshire,Female,18-64,46
2021/22,Renfrewshire,Female,65-74,76
2021/22,Renfrewshire,Female,75-84,235
2021/22,Renfrewshire,Female,85-94,331
2021/22,Renfrewshire,Female,95 and Older,53
2021/22,Renfrewshire,Male,18-64,50
2021/22,Renfrewshire,Male,65-74,83
2021/22,Renfrewshire,Male,75-84,135
2021/22,Renfrewshire,Male,85-94,108
2021/22,Renfrewshire,Male,95 and Older,10
2021/22,Scotland,Female,18-64,1406
2021/22,Scotland,Female,65-74,1873
2021/22,Scotland,Female,75-84,6297
2021/22,Scotland,Female,85-94,9789
2021/22,Scotland,Female,95 and Older,2316
2021/22,Scotland,Male,18-64,1920
2021/22,Scotland,Male,65-74,1727
2021/22,Scotland,Male,75-84,3219
2021/22,Scotland,Male,85-94,3019
2021/22,Scotland,Male,95 and Older,405
2021/22,Scottish Borders,Female,18-64,28
2021/22,Scottish Borders,Female,65-74,22
2021/22,Scottish Borders,Female,75-84,108
2021/22,Scottish Borders,Female,85-94,190
2021/22,Scottish Borders,Female,95 and Older,63
2021/22,Scottish Borders,Male,18-64,39
2021/22,Scottish Borders,Male,65-74,17
2021/22,Scottish Borders,Male,75-84,66
2021/22,Scottish Borders,Male,85-94,67
2021/22,Scottish Borders,Male,95 and Older,17
2021/22,Shetland Islands,Female,65-74,6
2021/22,Shetland Islands,Female,75-84,14
2021/22,Shetland Islands,Female,85-94,28
2021/22,Shetland Islands,Male,65-74,6
2021/22,Shetland Islands,Male,75-84,9
2021/22,Shetland Islands,Male,85-94,12
2021/22,South Ayrshire,Female,18-64,33
2021/22,South Ayrshire,Female,65-74,48
2021/22,South Ayrshire,Female,75-84,177
2021/22,South Ayrshire,Female,85-94,319
2021/22,South Ayrshire,Female,95 and Older,76
2021/22,South Ayrshire,Male,18-64,36
2021/22,South Ayrshire,Male,65-74,43
2021/22,South Ayrshire,Male,75-84,106
2021/22,South Ayrshire,Male,85-94,105
2021/22,South Ayrshire,Male,95 and Older,17
2021/22,South Lanarkshire,Female,18-64,77
2021/22,South Lanarkshire,Female,65-74,122
2021/22,South Lanarkshire,Female,75-84,410
2021/22,South Lanarkshire,Female,85-94,612
2021/22,South Lanarkshire,Female,95 and Older,149
2021/22,South Lanarkshire,Male,18-64,155
2021/22,South Lanarkshire,Male,65-74,130
2021/22,South Lanarkshire,Male,75-84,161
2021/22,South Lanarkshire,Male,85-94,184
2021/22,South Lanarkshire,Male,95 and Older,10
2021/22,Stirling,Female,18-64,42
2021/22,Stirling,Female,65-74,30
2021/22,Stirling,Female,75-84,58
2021/22,Stirling,Female,85-94,106
2021/22,Stirling,Female,95 and Older,31
2021/22,Stirling,Male,18-64,102
2021/22,Stirling,Male,65-74,31
2021/22,Stirling,Male,75-84,55
2021/22,Stirling,Male,85-94,43
2021/22,Stirling,Male,95 and Older,9
2021/22,West Dunbartonshire,Female,65-74,36
2021/22,West Dunbartonshire,Female,75-84,135
2021/22,West Dunbartonshire,Female,85-94,168
2021/22,West Dunbartonshire,Male,65-74,35
2021/22,West Dunbartonshire,Male,75-84,57
2021/22,West Dunbartonshire,Male,85-94,49
2021/22,West Lothian,Female,18-64,32
2021/22,West Lothian,Female,65-74,54
2021/22,West Lothian,Female,75-84,214
2021/22,West Lothian,Female,85-94,241
2021/22,West Lothian,Female,95 and Older,49
2021/22,West Lothian,Male,18-64,13
2021/22,West Lothian,Male,65-74,26
2021/22,West Lothian,Male,75-84,86
2021/22,West Lothian,Male,85-94,69
2021/22,West Lothian,Male,95 and Older,8
2022/23,Aberdeen City,Female,18-64,115
2022/23,Aberdeen City,Female,65-74,99
2022/23,Aberdeen City,Female,75-84,248
2022/23,Aberdeen City,Female,85-94,409
2022/23,Aberdeen City,Female,95 and Older,110
2022/23,Aberdeen City,Male,18-64,146
2022/23,Aberdeen City,Male,65-74,73
2022/23,Aberdeen City,Male,75-84,138
2022/23,Aberdeen City,Male,85-94,134
2022/23,Aberdeen City,Male,95 and Older,22
