financial_year,council_area,sex,age_group,number_of_people
2017/18,Dundee City,Male,95 and Older,18
2017/18,East Ayrshire,Female,18-64,35
2017/18,East Ayrshire,Female,65-74,52
2017/18,East Ayrshire,Female,75-84,166
2017/18,East Ayrshire,Female,85-94,208
2017/18,East Ayrshire,Female,95 and Older,54
2017/18,East Ayrshire,Male,18-64,51
2017/18,East Ayrshire,Male,65-74,70
2017/18,East Ayrshire,Male,75-84,95
2017/18,East Ayrshire,Male,85-94,76
2017/18,East Ayrshire,Male,95 and Older,7
2017/18,East Dunbartonshire,Female,18-64,20
2017/18,East Dunbartonshire,Female,65-74,53
2017/18,East Dunbartonshire,Female,75-84,154
2017/18,East Dunbartonshire,Female,85-94,237
2017/18,East Dunbartonshire,Female,95 and Older,57
2017/18,East Dunbartonshire,Male,18-64,40
2017/18,East Dunbartonshire,Male,65-74,28
2017/18,East Dunbartonshire,Male,75-84,67
2017/18,East Dunbartonshire,Male,85-94,65
2017/18,East Dunbartonshire,Male,95 and Older,18
2017/18,East Lothian,Female,18-64,5
2017/18,East Lothian,Female,65-74,24
2017/18,East Lothian,Female,75-84,96
2017/18,East Lothian,Female,85-94,188
2017/18,East Lothian,Female,95 and Older,50
2017/18,East Lothian,Male,18-64,9
2017/18,East Lothian,Male,65-74,29
2017/18,East Lothian,Male,75-84,52
2017/18,East Lothian,Male,85-94,69
2017/18,East Lothian,Male,95 and Older,5
2017/18,East Renfrewshire,Female,18-64,26
2017/18,East Renfrewshire,Female,65-74,25
2017/18,East Renfrewshire,Female,75-84,84
2017/18,East Renfrewshire,Female,85-94,253
2017/18,East Renfrewshire,Female,95 and Older,60
2017/18,East Renfrewshire,Male,18-64,24
2017/18,East Renfrewshire,Male,65-74,13
2017/18,East Renfrewshire,Male,75-84,29
2017/18,East Renfrewshire,Male,85-94,73
2017/18,East Renfrewshire,Male,95 and Older,8
2017/18,Falkirk,Female,18-64,39
2017/18,Falkirk,Female,65-74,62
2017/18,Falkirk,Female,75-84,193
2017/18,Falkirk,Female,85-94,275
2017/18,Falkirk,Female,95 and Older,76
2017/18,Falkirk,Male,18-64,66
2017/18,Falkirk,Male,65-74,44
2017/18,Falkirk,Male,75-84,99
2017/18,Falkirk,Male,85-94,83
2017/18,Falkirk,Male,95 and Older,17
2017/18,Fife,Female,18-64,106
2017/18,Fife,Female,65-74,149
2017/18,Fife,Female,75-84,458
2017/18,Fife,Female,85-94,784
2017/18,Fife,Female,95 and Older,226
2017/18,Fife,Male,18-64,139
2017/18,Fife,Male,65-74,117
2017/18,Fife,Male,75-84,250
2017/18,Fife,Male,85-94,247
2017/18,Fife,Male,95 and Older,52
2017/18,Glasgow City,Female,18-64,187
2017/18,Glasgow City,Female,65-74,250
2017/18,Glasgow City,Female,75-84,641
2017/18,Glasgow City,Female,85-94,964
2017/18,Glasgow City,Female,95 and Older,224
2017/18,Glasgow City,Male,18-64,300
2017/18,Glasgow City,Male,65-74,216
2017/18,Glasgow City,Male,75-84,391
2017/18,Glasgow City,Male,85-94,285
2017/18,Glasgow City,Male,95 and Older,36
2017/18,Highland,Female,18-64,97
2017/18,Highland,Female,65-74,80
2017/18,Highland,Female,75-84,279
2017/18,Highland,Female,85-94,503
2017/18,Highland,Female,95 and Older,144
2017/18,Highland,Male,18-64,134
2017/18,Highland,Male,65-74,103
2017/18,Highland,Male,75-84,173
2017/18,Highland,Male,85-94,163
2017/18,Highland,Male,95 and Older,16
2017/18,Inverclyde,Female,18-64,40
2017/18,Inverclyde,Female,65-74,42
2017/18,Inverclyde,Female,75-84,150
2017/18,Inverclyde,Female,85-94,227
2017/18,Inverclyde,Female,95 and Older,59
2017/18,Inverclyde,Male,18-64,47
2017/18,Inverclyde,Male,65-74,36
2017/18,Inverclyde,Male,75-84,65
2017/18,Inverclyde,Male,85-94,61
2017/18,Inverclyde,Male,95 and Older,5
2017/18,Midlothian,Female,18-64,45
2017/18,Midlothian,Female,65-74,22
2017/18,Midlothian,Female,75-84,106
2017/18,Midlothian,Female,85-94,135
2017/18,Midlothian,Female,95 and Older,32
2017/18,Midlothian,Male,18-64,36
2017/18,Midlothian,Male,65-74,23
2017/18,Midlothian,Male,75-84,35
2017/18,Midlothian,Male,85-94,46
2017/18,Midlothian,Male,95 and Older,13
2017/18,Moray,Female,18-64,9
2017/18,Moray,Female,65-74,25
2017/18,Moray,Female,75-84,95
2017/18,Moray,Female,85-94,187
2017/18,Moray,Female,95 and Older,38
2017/18,Moray,Male,18-64,10
2017/18,Moray,Male,65-74,32
2017/18,Moray,Male,75-84,61
2017/18,Moray,Male,85-94,55
2017/18,Moray,Male,95 and Older,10
2017/18,Na h-Eileanan Siar,Female,18-64,8
2017/18,Na h-Eileanan Siar,Female,65-74,9
2017/18,Na h-Eileanan Siar,Female,75-84,40
2017/18,Na h-Eileanan Siar,Female,85-94,63
2017/18,Na h-Eileanan Siar,Female,95 and Older,19
2017/18,Na h-Eileanan Siar,Male,65-74,11
2017/18,Na h-Eileanan Siar,Male,75-84,17
2017/18,Na h-Eileanan Siar,Male,85-94,21
2017/18,North Ayrshire,Female,18-64,63
2017/18,North Ayrshire,Female,65-74,46
2017/18,North Ayrshire,Female,75-84,198
2017/18,North Ayrshire,Female,85-94,246
2017/18,North Ayrshire,Female,95 and Older,60
2017/18,North Ayrshire,Male,18-64,97
2017/18,North Ayrshire,Male,65-74,54
2017/18,North Ayrshire,Male,75-84,113
2017/18,North Ayrshire,Male,85-94,70
2017/18,North Ayrshire,Male,95 and Older,11
2017/18,North Lanarkshire,Female,18-64,31
2017/18,North Lanarkshire,Female,65-74,123
2017/18,North Lanarkshire,Female,75-84,307
2017/18,North Lanarkshire,Female,85-94,403
2017/18,North Lanarkshire,Female,95 and Older,84
2017/18,North Lanarkshire,Male,18-64,117
2017/18,North Lanarkshire,Male,65-74,95
2017/18,North Lanarkshire,Male,75-84,176
2017/18,North Lanarkshire,Male,85-94,105
2017/18,North Lanarkshire,Male,95 and Older,11
2017/18,Orkney Islands,Female,75-84,17
2017/18,Orkney Islands,Female,85-94,33
2017/18,Orkney Islands,Female,95 and Older,7
2017/18,Orkney Islands,Male,75-84,14
2017/18,Orkney Islands,Male,85-94,9
2017/18,Perth and Kinross,Female,18-64,82
2017/18,Perth and Kinross,Female,65-74,52
2017/18,Perth and Kinross,Female,75-84,179
2017/18,Perth and Kinross,Female,85-94,415
2017/18,Perth and Kinross,Female,95 and Older,110
2017/18,Perth and Kinross,Male,18-64,138
2017/18,Perth and Kinross,Male,65-74,47
2017/18,Perth and Kinross,Male,75-84,105
2017/18,Perth and Kinross,Male,85-94,120
2017/18,Perth and Kinross,Male,95 and Older,28
2017/18,Renfrewshire,Female,18-64,41
2017/18,Renfrewshire,Female,65-74,65
2017/18,Renfrewshire,Female,75-84,224
2017/18,Renfrewshire,Female,85-94,373
2017/18,Renfrewshire,Female,95 and Older,80
2017/18,Renfrewshire,Male,18-64,55
2017/18,Renfrewshire,Male,65-74,70
2017/18,Renfrewshire,Male,75-84,155
2017/18,Renfrewshire,Male,85-94,148
2017/18,Renfrewshire,Male,95 and Older,16
2017/18,Scotland,Female,18-64,1483
2017/18,Scotland,Female,65-74,1828
2017/18,Scotland,Female,75-84,6143
2017/18,Scotland,Female,85-94,10478
2017/18,Scotland,Female,95 and Older,2580
2017/18,Scotland,Male,18-64,2086
2017/18,Scotland,Male,65-74,1716
2017/18,Scotland,Male,75-84,3302
2017/18,Scotland,Male,85-94,3131
2017/18,Scotland,Male,95 and Older,477
2017/18,Scottish Borders,Female,18-64,26
2017/18,Scottish Borders,Female,65-74,20
2017/18,Scottish Borders,Female,75-84,104
2017/18,Scottish Borders,Female,85-94,225
2017/18,Scottish Borders,Female,95 and Older,60
2017/18,Scottish Borders,Male,18-64,29
2017/18,Scottish Borders,Male,65-74,22
2017/18,Scottish Borders,Male,75-84,47
2017/18,Scottish Borders,Male,85-94,50
2017/18,Scottish Borders,Male,95 and Older,8
2017/18,Shetland Islands,Female,75-84,13
2017/18,Shetland Islands,Female,85-94,28
2017/18,Shetland Islands,Male,75-84,16
2017/18,Shetland Islands,Male,85-94,11
2017/18,South Ayrshire,Female,18-64,48
2017/18,South Ayrshire,Female,65-74,52
2017/18,South Ayrshire,Female,75-84,200
2017/18,South Ayrshire,Female,85-94,304
2017/18,South Ayrshire,Female,95 and Older,92
2017/18,South Ayrshire,Male,18-64,24
2017/18,South Ayrshire,Male,65-74,45
2017/18,South Ayrshire,Male,75-84,121
2017/18,South Ayrshire,Male,85-94,95
2017/18,South Ayrshire,Male,95 and Older,17
2017/18,South Lanarkshire,Female,18-64,87
2017/18,South Lanarkshire,Female,65-74,114
2017/18,South Lanarkshire,Female,75-84,397
2017/18,South Lanarkshire,Female,85-94,637
2017/18,South Lanarkshire,Female,95 and Older,135
2017/18,South Lanarkshire,Male,18-64,154
2017/18,South Lanarkshire,Male,65-74,148
2017/18,South Lanarkshire,Male,75-84,190
2017/18,South Lanarkshire,Male,85-94,172
2017/18,South Lanarkshire,Male,95 and Older,21
2017/18,Stirling,Female,18-64,31
2017/18,Stirling,Female,75-84,69
2017/18,Stirling,Female,85-94,116
2017/18,Stirling,Male,18-64,93
2017/18,Stirling,Male,75-84,43
2017/18,Stirling,Male,85-94,44
2017/18,West Dunbartonshire,Female,65-74,22
2017/18,West Dunbartonshire,Female,75-84,111
2017/18,West Dunbartonshire,Female,85-94,156
2017/18,West Dunbartonshire,Male,65-74,27
2017/18,West Dunbartonshire,Male,75-84,56
2017/18,West Dunbartonshire,Male,85-94,28
2017/18,West Lothian,Female,18-64,40
2017/18,West Lothian,Female,65-74,59
2017/18,West Lothian,Female,75-84,191
2017/18,West Lothian,Female,85-94,263
2017/18,West Lothian,Female,95 and Older,46
2017/18,West Lothian,Male,18-64,50
2017/18,West Lothian,Male,65-74,36
2017/18,West Lothian,Male,75-84,76
2017/18,West Lothian,Male,85-94,95
2017/18,West Lothian,Male,95 and Older,6
2018/19,Aberdeen City,Female,18-64,87
2018/19,Aberdeen City,Female,65-74,76
2018/19,Aberdeen City,Female,75-84,259
2018/19,Aberdeen City,Female,85-94,408
2018/19,Aberdeen City,Female,95 and Older,96
2018/19,Aberdeen City,Male,18-64,114
2018/19,Aberdeen City,Male,65-74,69
2018/19,Aberdeen City,Male,75-84,114
2018/19,Aberdeen City,Male,85-94,120
2018/19,Aberdeen City,Male,95 and Older,18
2018/19,Aberdeenshire,Female,18-64,87
2018/19,Aberdeenshire,Female,65-74,88
2018/19,Aberdeenshire,Female,75-84,293
2018/19,Aberdeenshire,Female,85-94,529
2018/19,Aberdeenshire,Female,95 and Older,131
2018/19,Aberdeenshire,Male,18-64,85
2018/19,Aberdeenshire,Male,65-74,81
2018/19,Aberdeenshire,Male,75-84,136
2018/19,Aberdeenshire,Male,85-94,181
2018/19,Aberdeenshire,Male,95 and Older,30
2018/19,Angus,Female,18-64,31
2018/19,Angus,Female,65-74,58
2018/19,Angus,Female,75-84,144
2018/19,Angus,Female,85-94,350
2018/19,Angus,Female,95 and Older,103
2018/19,Angus,Male,18-64,23
2018/19,Angus,Male,65-74,42
2018/19,Angus,Male,75-84,76
2018/19,Angus,Male,85-94,88
2018/19,Angus,Male,95 and Older,16
2018/19,Argyll and Bute,Female,75-84,98
2018/19,Argyll and Bute,Female,85-94,157
2018/19,Argyll and Bute,Female,95 and Older,45
2018/19,Argyll and Bute,Male,18-64,0
2018/19,Argyll and Bute,Male,75-84,38
2018/19,Argyll and Bute,Male,85-94,48
2018/19,Argyll and Bute,Male,95 and Older,8
2018/19,City of Edinburgh,Female,18-64,55
2018/19,City of Edinburgh,Female,65-74,113
2018/19,City of Edinburgh,Female,75-84,439
2018/19,City of Edinburgh,Female,85-94,983
2018/19,City of Edinburgh,Female,95 and Older,261
2018/19,City of Edinburgh,Male,18-64,67
2018/19,City of Edinburgh,Male,65-74,113
2018/19,City of Edinburgh,Male,75-84,260
2018/19,City of Edinburgh,Male,85-94,300
2018/19,City of Edinburgh,Male,95 and Older,33
2018/19,Clackmannanshire,Female,18-64,32
2018/19,Clackmannanshire,Female,65-74,14
2018/19,Clackmannanshire,Female,75-84,72
2018/19,Clackmannanshire,Female,85-94,82
2018/19,Clackmannanshire,Female,95 and Older,29
2018/19,Clackmannanshire,Male,18-64,27
2018/19,Clackmannanshire,Male,65-74,23
2018/19,Clackmannanshire,Male,75-84,41
2018/19,Clackmannanshire,Male,85-94,23
2018/19,Clackmannanshire,Male,95 and Older,0
2018/19,Dumfries and Galloway,Female,18-64,21
2018/19,Dumfries and Galloway,Female,65-74,53
2018/19,Dumfries and Galloway,Female,75-84,181
2018/19,Dumfries and Galloway,Female,85-94,367
