date,sex,age_group,council_area_2019,main_client_group,number_of_people,council_area,financial_year
2018-03-31,Female,18-64,S12000011,All Adults,26,East Renfrewshire,2017/18
2018-03-31,Female,18-64,S12000013,All Adults,8,Na h-Eileanan Siar,2017/18
2018-03-31,Female,18-64,S12000014,All Adults,39,Falkirk,2017/18
2018-03-31,Female,18-64,S12000017,All Adults,97,Highland,2017/18
2018-03-31,Female,18-64,S12000018,All Adults,40,Inverclyde,2017/18
2018-03-31,Female,18-64,S12000019,All Adults,45,Midlothian,2017/18
2018-03-31,Female,18-64,S12000020,All Adults,9,Moray,2017/18
2018-03-31,Female,18-64,S12000021,All Adults,63,North Ayrshire,2017/18
2018-03-31,Female,18-64,S12000026,All Adults,26,Scottish Borders,2017/18
2018-03-31,Female,18-64,S12000028,All Adults,48,South Ayrshire,2017/18
2018-03-31,Female,18-64,S12000029,All Adults,87,South Lanarkshire,2017/18
2018-03-31,Female,18-64,S12000030,All Adults,31,Stirling,2017/18
2018-03-31,Female,18-64,S12000033,All Adults,118,Aberdeen City,2017/18
2018-03-31,Female,18-64,S12000034,All Adults,85,Aberdeenshire,2017/18
2018-03-31,Female,18-64,S12000036,All Adults,57,City of Edinburgh,2017/18
2018-03-31,Female,18-64,S12000038,All Adults,41,Renfrewshire,2017/18
2018-03-31,Female,18-64,S12000040,All Adults,40,West Lothian,2017/18
2018-03-31,Female,18-64,S12000041,All Adults,26,Angus,2017/18
2018-03-31,Female,18-64,S12000042,All Adults,36,Dundee City,2017/18
2018-03-31,Female,18-64,S12000045,All Adults,20,East Dunbartonshire,2017/18
2018-03-31,Female,18-64,S12000047,All Adults,106,Fife,2017/18
2018-03-31,Female,18-64,S12000048,All Adults,82,Perth and Kinross,2017/18
2018-03-31,Female,18-64,S12000049,All Adults,187,Glasgow City,2017/18
2018-03-31,Female,18-64,S12000050,All Adults,31,North Lanarkshire,2017/18
2018-03-31,Female,18-64,S92000003,All Adults,1483,Scotland,2017/18
2018-03-31,Female,65-74,S12000006,All Adults,43,Dumfries and Galloway,2017/18
2018-03-31,Female,65-74,S12000008,All Adults,52,East Ayrshire,2017/18
2018-03-31,Female,65-74,S12000010,All Adults,24,East Lothian,2017/18
2018-03-31,Female,65-74,S12000011,All Adults,25,East Renfrewshire,2017/18
2018-03-31,Female,65-74,S12000013,All Adults,9,Na h-Eileanan Siar,2017/18
2018-03-31,Female,65-74,S12000014,All Adults,62,Falkirk,2017/18
2018-03-31,Female,65-74,S12000017,All Adults,80,Highland,2017/18
2018-03-31,Female,65-74,S12000018,All Adults,42,Inverclyde,2017/18
2018-03-31,Female,65-74,S12000019,All Adults,22,Midlothian,2017/18
2018-03-31,Female,65-74,S12000020,All Adults,25,Moray,2017/18
2018-03-31,Female,65-74,S12000021,All Adults,46,North Ayrshire,2017/18
2018-03-31,Female,65-74,S12000026,All Adults,20,Scottish Borders,2017/18
2018-03-31,Female,65-74,S12000028,All Adults,52,South Ayrshire,2017/18
2018-03-31,Female,65-74,S12000029,All Adults,114,South Lanarkshire,2017/18
2018-03-31,Female,65-74,S12000033,All Adults,71,Aberdeen City,2017/18
2018-03-31,Female,65-74,S12000034,All Adults,92,Aberdeenshire,2017/18
2018-03-31,Female,65-74,S12000036,All Adults,113,City of Edinburgh,2017/18
2018-03-31,Female,65-74,S12000038,All Adults,65,Renfrewshire,2017/18
2018-03-31,Female,65-74,S12000039,All Adults,22,West Dunbartonshire,2017/18
2018-03-31,Female,65-74,S12000040,All Adults,59,West Lothian,2017/18
2018-03-31,Female,65-74,S12000041,All Adults,47,Angus,2017/18
2018-03-31,Female,65-74,S12000042,All Adults,63,Dundee City,2017/18
2018-03-31,Female,65-74,S12000045,All Adults,53,East Dunbartonshire,2017/18
2018-03-31,Female,65-74,S12000047,All Adults,149,Fife,2017/18
2018-03-31,Female,65-74,S12000048,All Adults,52,Perth and Kinross,2017/18
2018-03-31,Female,65-74,S12000049,All Adults,250,Glasgow City,2017/18
2018-03-31,Female,65-74,S12000050,All Adults,123,North Lanarkshire,2017/18
2018-03-31,Female,65-74,S92000003,All Adults,1828,Scotland,2017/18
2018-03-31,Female,75-84,S12000005,All Adults,60,Clackmannanshire,2017/18
2018-03-31,Female,75-84,S12000006,All Adults,177,Dumfries and Galloway,2017/18
2018-03-31,Female,75-84,S12000008,All Adults,166,East Ayrshire,2017/18
2018-03-31,Female,75-84,S12000010,All Adults,96,East Lothian,2017/18
2018-03-31,Female,75-84,S12000011,All Adults,84,East Renfrewshire,2017/18
2018-03-31,Female,75-84,S12000013,All Adults,40,Na h-Eileanan Siar,2017/18
2018-03-31,Female,75-84,S12000014,All Adults,193,Falkirk,2017/18
2018-03-31,Female,75-84,S12000017,All Adults,279,Highland,2017/18
2018-03-31,Female,75-84,S12000018,All Adults,150,Inverclyde,2017/18
2018-03-31,Female,75-84,S12000019,All Adults,106,Midlothian,2017/18
2018-03-31,Female,75-84,S12000020,All Adults,95,Moray,2017/18
2018-03-31,Female,75-84,S12000021,All Adults,198,North Ayrshire,2017/18
2018-03-31,Female,75-84,S12000023,All Adults,17,Orkney Islands,2017/18
2018-03-31,Female,75-84,S12000026,All Adults,104,Scottish Borders,2017/18
2018-03-31,Female,75-84,S12000027,All Adults,13,Shetland Islands,2017/18
2018-03-31,Female,75-84,S12000028,All Adults,200,South Ayrshire,2017/18
2018-03-31,Female,75-84,S12000029,All Adults,397,South Lanarkshire,2017/18
2018-03-31,Female,75-84,S12000030,All Adults,69,Stirling,2017/18
2018-03-31,Female,75-84,S12000033,All Adults,230,Aberdeen City,2017/18
2018-03-31,Female,75-84,S12000034,All Adults,307,Aberdeenshire,2017/18
2018-03-31,Female,75-84,S12000035,All Adults,104,Argyll and Bute,2017/18
2018-03-31,Female,75-84,S12000036,All Adults,436,City of Edinburgh,2017/18
2018-03-31,Female,75-84,S12000038,All Adults,224,Renfrewshire,2017/18
2018-03-31,Female,75-84,S12000039,All Adults,111,West Dunbartonshire,2017/18
2018-03-31,Female,75-84,S12000040,All Adults,191,West Lothian,2017/18
2018-03-31,Female,75-84,S12000041,All Adults,147,Angus,2017/18
2018-03-31,Female,75-84,S12000042,All Adults,214,Dundee City,2017/18
2018-03-31,Female,75-84,S12000045,All Adults,154,East Dunbartonshire,2017/18
2018-03-31,Female,75-84,S12000047,All Adults,458,Fife,2017/18
2018-03-31,Female,75-84,S12000048,All Adults,179,Perth and Kinross,2017/18
2018-03-31,Female,75-84,S12000049,All Adults,641,Glasgow City,2017/18
2018-03-31,Female,75-84,S12000050,All Adults,307,North Lanarkshire,2017/18
2018-03-31,Female,75-84,S92000003,All Adults,6143,Scotland,2017/18
2018-03-31,Female,85-94,S12000005,All Adults,75,Clackmannanshire,2017/18
2018-03-31,Female,85-94,S12000006,All Adults,356,Dumfries and Galloway,2017/18
2018-03-31,Female,85-94,S12000008,All Adults,208,East Ayrshire,2017/18
2018-03-31,Female,85-94,S12000010,All Adults,188,East Lothian,2017/18
2018-03-31,Female,85-94,S12000011,All Adults,253,East Renfrewshire,2017/18
2018-03-31,Female,85-94,S12000013,All Adults,63,Na h-Eileanan Siar,2017/18
2018-03-31,Female,85-94,S12000014,All Adults,275,Falkirk,2017/18
2018-03-31,Female,85-94,S12000017,All Adults,503,Highland,2017/18
2018-03-31,Female,85-94,S12000018,All Adults,227,Inverclyde,2017/18
2018-03-31,Female,85-94,S12000019,All Adults,135,Midlothian,2017/18
2018-03-31,Female,85-94,S12000020,All Adults,187,Moray,2017/18
2018-03-31,Female,85-94,S12000021,All Adults,246,North Ayrshire,2017/18
2018-03-31,Female,85-94,S12000023,All Adults,33,Orkney Islands,2017/18
2018-03-31,Female,85-94,S12000026,All Adults,225,Scottish Borders,2017/18
2018-03-31,Female,85-94,S12000027,All Adults,28,Shetland Islands,2017/18
2018-03-31,Female,85-94,S12000028,All Adults,304,South Ayrshire,2017/18
2018-03-31,Female,85-94,S12000029,All Adults,637,South Lanarkshire,2017/18
2018-03-31,Female,85-94,S12000030,All Adults,116,Stirling,2017/18
2018-03-31,Female,85-94,S12000033,All Adults,403,Aberdeen City,2017/18
2018-03-31,Female,85-94,S12000034,All Adults,510,Aberdeenshire,2017/18
2018-03-31,Female,85-94,S12000035,All Adults,173,Argyll and Bute,2017/18
2018-03-31,Female,85-94,S12000036,All Adults,1024,City of Edinburgh,2017/18
2018-03-31,Female,85-94,S12000038,All Adults,373,Renfrewshire,2017/18
2018-03-31,Female,85-94,S12000039,All Adults,156,West Dunbartonshire,2017/18
2018-03-31,Female,85-94,S12000040,All Adults,263,West Lothian,2017/18
2018-03-31,Female,85-94,S12000041,All Adults,379,Angus,2017/18
2018-03-31,Female,85-94,S12000042,All Adults,325,Dundee City,2017/18
2018-03-31,Female,85-94,S12000045,All Adults,237,East Dunbartonshire,2017/18
2018-03-31,Female,85-94,S12000047,All Adults,784,Fife,2017/18
2018-03-31,Female,85-94,S12000048,All Adults,415,Perth and Kinross,2017/18
2018-03-31,Female,85-94,S12000049,All Adults,964,Glasgow City,2017/18
2018-03-31,Female,85-94,S12000050,All Adults,403,North Lanarkshire,2017/18
2018-03-31,Female,85-94,S92000003,All Adults,10478,Scotland,2017/18
2018-03-31,Female,95 and Older,S12000006,All Adults,109,Dumfries and Galloway,2017/18
2018-03-31,Female,95 and Older,S12000008,All Adults,54,East Ayrshire,2017/18
2018-03-31,Female,95 and Older,S12000010,All Adults,50,East Lothian,2017/18
2018-03-31,Female,95 and Older,S12000011,All Adults,60,East Renfrewshire,2017/18
2018-03-31,Female,95 and Older,S12000013,All Adults,19,Na h-Eileanan Siar,2017/18
2018-03-31,Female,95 and Older,S12000014,All Adults,76,Falkirk,2017/18
2018-03-31,Female,95 and Older,S12000017,All Adults,144,Highland,2017/18
2018-03-31,Female,95 and Older,S12000018,All Adults,59,Inverclyde,2017/18
2018-03-31,Female,95 and Older,S12000019,All Adults,32,Midlothian,2017/18
2018-03-31,Female,95 and Older,S12000020,All Adults,38,Moray,2017/18
2018-03-31,Female,95 and Older,S12000021,All Adults,60,North Ayrshire,2017/18
2018-03-31,Female,95 and Older,S12000023,All Adults,7,Orkney Islands,2017/18
2018-03-31,Female,95 and Older,S12000026,All Adults,60,Scottish Borders,2017/18
2018-03-31,Female,95 and Older,S12000028,All Adults,92,South Ayrshire,2017/18
2018-03-31,Female,95 and Older,S12000029,All Adults,135,South Lanarkshire,2017/18
2018-03-31,Female,95 and Older,S12000033,All Adults,80,Aberdeen City,2017/18
2018-03-31,Female,95 and Older,S12000034,All Adults,119,Aberdeenshire,2017/18
2018-03-31,Female,95 and Older,S12000036,All Adults,254,City of Edinburgh,2017/18
2018-03-31,Female,95 and Older,S12000038,All Adults,80,Renfrewshire,2017/18
2018-03-31,Female,95 and Older,S12000040,All Adults,46,West Lothian,2017/18
2018-03-31,Female,95 and Older,S12000041,All Adults,94,Angus,2017/18
2018-03-31,Female,95 and Older,S12000042,All Adults,60,Dundee City,2017/18
2018-03-31,Female,95 and Older,S12000045,All Adults,57,East Dunbartonshire,2017/18
2018-03-31,Female,95 and Older,S12000047,All Adults,226,Fife,2017/18
2018-03-31,Female,95 and Older,S12000048,All Adults,110,Perth and Kinross,2017/18
2018-03-31,Female,95 and Older,S12000049,All Adults,224,Glasgow City,2017/18
2018-03-31,Female,95 and Older,S12000050,All Adults,84,North Lanarkshire,2017/18
2018-03-31,Female,95 and Older,S92000003,All Adults,2580,Scotland,2017/18
2018-03-31,Male,18-64,S12000005,All Adults,50,Clackmannanshire,2017/18
2018-03-31,Male,18-64,S12000006,All Adults,44,Dumfries and Galloway,2017/18
2018-03-31,Male,18-64,S12000008,All Adults,51,East Ayrshire,2017/18
2018-03-31,Male,18-64,S12000010,All Adults,9,East Lothian,2017/18
2018-03-31,Male,18-64,S12000011,All Adults,24,East Renfrewshire,2017/18
2018-03-31,Male,18-64,S12000014,All Adults,66,Falkirk,2017/18
2018-03-31,Male,18-64,S12000017,All Adults,134,Highland,2017/18
2018-03-31,Male,18-64,S12000018,All Adults,47,Inverclyde,2017/18
2018-03-31,Male,18-64,S12000019,All Adults,36,Midlothian,2017/18
2018-03-31,Male,18-64,S12000020,All Adults,10,Moray,2017/18
2018-03-31,Male,18-64,S12000021,All Adults,97,North Ayrshire,2017/18
2018-03-31,Male,18-64,S12000026,All Adults,29,Scottish Borders,2017/18
2018-03-31,Male,18-64,S12000028,All Adults,24,South Ayrshire,2017/18
2018-03-31,Male,18-64,S12000029,All Adults,154,South Lanarkshire,2017/18
2018-03-31,Male,18-64,S12000030,All Adults,93,Stirling,2017/18
2018-03-31,Male,18-64,S12000033,All Adults,128,Aberdeen City,2017/18
2018-03-31,Male,18-64,S12000034,All Adults,82,Aberdeenshire,2017/18
2018-03-31,Male,18-64,S12000036,All Adults,83,City of Edinburgh,2017/18
2018-03-31,Male,18-64,S12000038,All Adults,55,Renfrewshire,2017/18
2018-03-31,Male,18-64,S12000040,All Adults,50,West Lothian,2017/18
2018-03-31,Male,18-64,S12000041,All Adults,25,Angus,2017/18
2018-03-31,Male,18-64,S12000042,All Adults,45,Dundee City,2017/18
2018-03-31,Male,18-64,S12000045,All Adults,40,East Dunbartonshire,2017/18
2018-03-31,Male,18-64,S12000047,All Adults,139,Fife,2017/18
2018-03-31,Male,18-64,S12000048,All Adults,138,Perth and Kinross,2017/18
2018-03-31,Male,18-64,S12000049,All Adults,300,Glasgow City,2017/18
2018-03-31,Male,18-64,S12000050,All Adults,117,North Lanarkshire,2017/18
2018-03-31,Male,18-64,S92000003,All Adults,2086,Scotland,2017/18
2018-03-31,Male,65-74,S12000006,All Adults,43,Dumfries and Galloway,2017/18
2018-03-31,Male,65-74,S12000008,All Adults,70,East Ayrshire,2017/18
2018-03-31,Male,65-74,S12000010,All Adults,29,East Lothian,2017/18
2018-03-31,Male,65-74,S12000011,All Adults,13,East Renfrewshire,2017/18
2018-03-31,Male,65-74,S12000013,All Adults,11,Na h-Eileanan Siar,2017/18
2018-03-31,Male,65-74,S12000014,All Adults,44,Falkirk,2017/18
2018-03-31,Male,65-74,S12000017,All Adults,103,Highland,2017/18
2018-03-31,Male,65-74,S12000018,All Adults,36,Inverclyde,2017/18
2018-03-31,Male,65-74,S12000019,All Adults,23,Midlothian,2017/18
2018-03-31,Male,65-74,S12000020,All Adults,32,Moray,2017/18
2018-03-31,Male,65-74,S12000021,All Adults,54,North Ayrshire,2017/18
2018-03-31,Male,65-74,S12000026,All Adults,22,Scottish Borders,2017/18
2018-03-31,Male,65-74,S12000028,All Adults,45,South Ayrshire,2017/18
2018-03-31,Male,65-74,S12000029,All Adults,148,South Lanarkshire,2017/18
2018-03-31,Male,65-74,S12000033,All Adults,63,Aberdeen City,2017/18
2018-03-31,Male,65-74,S12000034,All Adults,78,Aberdeenshire,2017/18
2018-03-31,Male,65-74,S12000036,All Adults,122,City of Edinburgh,2017/18
2018-03-31,Male,65-74,S12000038,All Adults,70,Renfrewshire,2017/18
