date,sex,age_group,council_area_2019,main_client_group,number_of_people,council_area,financial_year
2018-03-31,Male,95 and Older,S12000019,All Adults,13,Midlothian,2017/18
2018-03-31,Male,95 and Older,S12000020,All Adults,10,Moray,2017/18
2018-03-31,Male,95 and Older,S12000021,All Adults,11,North Ayrshire,2017/18
2018-03-31,Male,95 and Older,S12000026,All Adults,8,Scottish Borders,2017/18
2018-03-31,Male,95 and Older,S12000028,All Adults,17,South Ayrshire,2017/18
2018-03-31,Male,95 and Older,S12000029,All Adults,21,South Lanarkshire,2017/18
2018-03-31,Male,95 and Older,S12000033,All Adults,16,Aberdeen City,2017/18
2018-03-31,Male,95 and Older,S12000034,All Adults,30,Aberdeenshire,2017/18
2018-03-31,Male,95 and Older,S12000036,All Adults,57,City of Edinburgh,2017/18
2018-03-31,Male,95 and Older,S12000038,All Adults,16,Renfrewshire,2017/18
2018-03-31,Male,95 and Older,S12000040,All Adults,6,West Lothian,2017/18
2018-03-31,Male,95 and Older,S12000041,All Adults,15,Angus,2017/18
2018-03-31,Male,95 and Older,S12000042,All Adults,18,Dundee City,2017/18
2018-03-31,Male,95 and Older,S12000045,All Adults,18,East Dunbartonshire,2017/18
2018-03-31,Male,95 and Older,S12000047,All Adults,52,Fife,2017/18
2018-03-31,Male,95 and Older,S12000048,All Adults,28,Perth and Kinross,2017/18
2018-03-31,Male,95 and Older,S12000049,All Adults,36,Glasgow City,2017/18
2018-03-31,Male,95 and Older,S12000050,All Adults,11,North Lanarkshire,2017/18
2018-03-31,Male,95 and Older,S92000003,All Adults,477,Scotland,2017/18
2019-03-31,Female,18-64,S12000005,All Adults,32,Clackmannanshire,2018/19
2019-03-31,Female,18-64,S12000006,All Adults,21,Dumfries and Galloway,2018/19
2019-03-31,Female,18-64,S12000008,All Adults,29,East Ayrshire,2018/19
2019-03-31,Female,18-64,S12000010,All Adults,7,East Lothian,2018/19
2019-03-31,Female,18-64,S12000014,All Adults,30,Falkirk,2018/19
2019-03-31,Female,18-64,S12000017,All Adults,100,Highland,2018/19
2019-03-31,Female,18-64,S12000018,All Adults,37,Inverclyde,2018/19
2019-03-31,Female,18-64,S12000019,All Adults,54,Midlothian,2018/19
2019-03-31,Female,18-64,S12000020,All Adults,7,Moray,2018/19
2019-03-31,Female,18-64,S12000021,All Adults,53,North Ayrshire,2018/19
2019-03-31,Female,18-64,S12000026,All Adults,21,Scottish Borders,2018/19
2019-03-31,Female,18-64,S12000028,All Adults,50,South Ayrshire,2018/19
2019-03-31,Female,18-64,S12000029,All Adults,90,South Lanarkshire,2018/19
2019-03-31,Female,18-64,S12000030,All Adults,27,Stirling,2018/19
2019-03-31,Female,18-64,S12000033,All Adults,87,Aberdeen City,2018/19
2019-03-31,Female,18-64,S12000034,All Adults,87,Aberdeenshire,2018/19
2019-03-31,Female,18-64,S12000036,All Adults,55,City of Edinburgh,2018/19
2019-03-31,Female,18-64,S12000038,All Adults,33,Renfrewshire,2018/19
2019-03-31,Female,18-64,S12000040,All Adults,39,West Lothian,2018/19
2019-03-31,Female,18-64,S12000041,All Adults,31,Angus,2018/19
2019-03-31,Female,18-64,S12000042,All Adults,30,Dundee City,2018/19
2019-03-31,Female,18-64,S12000045,All Adults,9,East Dunbartonshire,2018/19
2019-03-31,Female,18-64,S12000047,All Adults,122,Fife,2018/19
2019-03-31,Female,18-64,S12000048,All Adults,60,Perth and Kinross,2018/19
2019-03-31,Female,18-64,S12000049,All Adults,200,Glasgow City,2018/19
2019-03-31,Female,18-64,S12000050,All Adults,21,North Lanarkshire,2018/19
2019-03-31,Female,18-64,S92000003,All Adults,1348,Scotland,2018/19
2019-03-31,Female,65-74,S12000005,All Adults,14,Clackmannanshire,2018/19
2019-03-31,Female,65-74,S12000006,All Adults,53,Dumfries and Galloway,2018/19
2019-03-31,Female,65-74,S12000008,All Adults,35,East Ayrshire,2018/19
2019-03-31,Female,65-74,S12000010,All Adults,20,East Lothian,2018/19
2019-03-31,Female,65-74,S12000011,All Adults,24,East Renfrewshire,2018/19
2019-03-31,Female,65-74,S12000014,All Adults,56,Falkirk,2018/19
2019-03-31,Female,65-74,S12000017,All Adults,86,Highland,2018/19
2019-03-31,Female,65-74,S12000018,All Adults,31,Inverclyde,2018/19
2019-03-31,Female,65-74,S12000020,All Adults,26,Moray,2018/19
2019-03-31,Female,65-74,S12000021,All Adults,53,North Ayrshire,2018/19
2019-03-31,Female,65-74,S12000026,All Adults,32,Scottish Borders,2018/19
2019-03-31,Female,65-74,S12000027,All Adults,6,Shetland Islands,2018/19
2019-03-31,Female,65-74,S12000028,All Adults,47,South Ayrshire,2018/19
2019-03-31,Female,65-74,S12000029,All Adults,129,South Lanarkshire,2018/19
2019-03-31,Female,65-74,S12000030,All Adults,17,Stirling,2018/19
2019-03-31,Female,65-74,S12000033,All Adults,76,Aberdeen City,2018/19
2019-03-31,Female,65-74,S12000034,All Adults,88,Aberdeenshire,2018/19
2019-03-31,Female,65-74,S12000036,All Adults,113,City of Edinburgh,2018/19
2019-03-31,Female,65-74,S12000038,All Adults,72,Renfrewshire,2018/19
2019-03-31,Female,65-74,S12000039,All Adults,37,West Dunbartonshire,2018/19
2019-03-31,Female,65-74,S12000040,All Adults,45,West Lothian,2018/19
2019-03-31,Female,65-74,S12000041,All Adults,58,Angus,2018/19
2019-03-31,Female,65-74,S12000042,All Adults,62,Dundee City,2018/19
2019-03-31,Female,65-74,S12000045,All Adults,43,East Dunbartonshire,2018/19
2019-03-31,Female,65-74,S12000047,All Adults,183,Fife,2018/19
2019-03-31,Female,65-74,S12000048,All Adults,57,Perth and Kinross,2018/19
2019-03-31,Female,65-74,S12000049,All Adults,274,Glasgow City,2018/19
2019-03-31,Female,65-74,S12000050,All Adults,103,North Lanarkshire,2018/19
2019-03-31,Female,65-74,S92000003,All Adults,1895,Scotland,2018/19
2019-03-31,Female,75-84,S12000005,All Adults,72,Clackmannanshire,2018/19
2019-03-31,Female,75-84,S12000006,All Adults,181,Dumfries and Galloway,2018/19
2019-03-31,Female,75-84,S12000008,All Adults,159,East Ayrshire,2018/19
2019-03-31,Female,75-84,S12000010,All Adults,96,East Lothian,2018/19
2019-03-31,Female,75-84,S12000011,All Adults,102,East Renfrewshire,2018/19
2019-03-31,Female,75-84,S12000013,All Adults,40,Na h-Eileanan Siar,2018/19
2019-03-31,Female,75-84,S12000014,All Adults,201,Falkirk,2018/19
2019-03-31,Female,75-84,S12000017,All Adults,300,Highland,2018/19
2019-03-31,Female,75-84,S12000018,All Adults,137,Inverclyde,2018/19
2019-03-31,Female,75-84,S12000019,All Adults,87,Midlothian,2018/19
2019-03-31,Female,75-84,S12000020,All Adults,103,Moray,2018/19
2019-03-31,Female,75-84,S12000021,All Adults,215,North Ayrshire,2018/19
2019-03-31,Female,75-84,S12000023,All Adults,20,Orkney Islands,2018/19
2019-03-31,Female,75-84,S12000026,All Adults,125,Scottish Borders,2018/19
2019-03-31,Female,75-84,S12000027,All Adults,15,Shetland Islands,2018/19
2019-03-31,Female,75-84,S12000028,All Adults,181,South Ayrshire,2018/19
2019-03-31,Female,75-84,S12000029,All Adults,409,South Lanarkshire,2018/19
2019-03-31,Female,75-84,S12000030,All Adults,47,Stirling,2018/19
2019-03-31,Female,75-84,S12000033,All Adults,259,Aberdeen City,2018/19
2019-03-31,Female,75-84,S12000034,All Adults,293,Aberdeenshire,2018/19
2019-03-31,Female,75-84,S12000035,All Adults,98,Argyll and Bute,2018/19
2019-03-31,Female,75-84,S12000036,All Adults,439,City of Edinburgh,2018/19
2019-03-31,Female,75-84,S12000038,All Adults,230,Renfrewshire,2018/19
2019-03-31,Female,75-84,S12000039,All Adults,118,West Dunbartonshire,2018/19
2019-03-31,Female,75-84,S12000040,All Adults,208,West Lothian,2018/19
2019-03-31,Female,75-84,S12000041,All Adults,144,Angus,2018/19
2019-03-31,Female,75-84,S12000042,All Adults,210,Dundee City,2018/19
2019-03-31,Female,75-84,S12000045,All Adults,185,East Dunbartonshire,2018/19
2019-03-31,Female,75-84,S12000047,All Adults,469,Fife,2018/19
2019-03-31,Female,75-84,S12000048,All Adults,181,Perth and Kinross,2018/19
2019-03-31,Female,75-84,S12000049,All Adults,688,Glasgow City,2018/19
2019-03-31,Female,75-84,S12000050,All Adults,355,North Lanarkshire,2018/19
2019-03-31,Female,75-84,S92000003,All Adults,6384,Scotland,2018/19
2019-03-31,Female,85-94,S12000005,All Adults,82,Clackmannanshire,2018/19
2019-03-31,Female,85-94,S12000006,All Adults,367,Dumfries and Galloway,2018/19
2019-03-31,Female,85-94,S12000008,All Adults,207,East Ayrshire,2018/19
2019-03-31,Female,85-94,S12000010,All Adults,175,East Lothian,2018/19
2019-03-31,Female,85-94,S12000011,All Adults,188,East Renfrewshire,2018/19
2019-03-31,Female,85-94,S12000013,All Adults,73,Na h-Eileanan Siar,2018/19
2019-03-31,Female,85-94,S12000014,All Adults,265,Falkirk,2018/19
2019-03-31,Female,85-94,S12000017,All Adults,503,Highland,2018/19
2019-03-31,Female,85-94,S12000018,All Adults,227,Inverclyde,2018/19
2019-03-31,Female,85-94,S12000019,All Adults,146,Midlothian,2018/19
2019-03-31,Female,85-94,S12000020,All Adults,178,Moray,2018/19
2019-03-31,Female,85-94,S12000021,All Adults,240,North Ayrshire,2018/19
2019-03-31,Female,85-94,S12000023,All Adults,38,Orkney Islands,2018/19
2019-03-31,Female,85-94,S12000026,All Adults,217,Scottish Borders,2018/19
2019-03-31,Female,85-94,S12000027,All Adults,26,Shetland Islands,2018/19
2019-03-31,Female,85-94,S12000028,All Adults,342,South Ayrshire,2018/19
2019-03-31,Female,85-94,S12000029,All Adults,685,South Lanarkshire,2018/19
2019-03-31,Female,85-94,S12000030,All Adults,106,Stirling,2018/19
2019-03-31,Female,85-94,S12000033,All Adults,408,Aberdeen City,2018/19
2019-03-31,Female,85-94,S12000034,All Adults,529,Aberdeenshire,2018/19
2019-03-31,Female,85-94,S12000035,All Adults,157,Argyll and Bute,2018/19
2019-03-31,Female,85-94,S12000036,All Adults,983,City of Edinburgh,2018/19
2019-03-31,Female,85-94,S12000038,All Adults,407,Renfrewshire,2018/19
2019-03-31,Female,85-94,S12000039,All Adults,176,West Dunbartonshire,2018/19
2019-03-31,Female,85-94,S12000040,All Adults,252,West Lothian,2018/19
2019-03-31,Female,85-94,S12000041,All Adults,350,Angus,2018/19
2019-03-31,Female,85-94,S12000042,All Adults,347,Dundee City,2018/19
2019-03-31,Female,85-94,S12000045,All Adults,308,East Dunbartonshire,2018/19
2019-03-31,Female,85-94,S12000047,All Adults,745,Fife,2018/19
2019-03-31,Female,85-94,S12000048,All Adults,391,Perth and Kinross,2018/19
2019-03-31,Female,85-94,S12000049,All Adults,1040,Glasgow City,2018/19
2019-03-31,Female,85-94,S12000050,All Adults,419,North Lanarkshire,2018/19
2019-03-31,Female,85-94,S92000003,All Adults,10579,Scotland,2018/19
2019-03-31,Female,95 and Older,S12000005,All Adults,29,Clackmannanshire,2018/19
2019-03-31,Female,95 and Older,S12000006,All Adults,77,Dumfries and Galloway,2018/19
2019-03-31,Female,95 and Older,S12000008,All Adults,57,East Ayrshire,2018/19
2019-03-31,Female,95 and Older,S12000010,All Adults,57,East Lothian,2018/19
2019-03-31,Female,95 and Older,S12000013,All Adults,16,Na h-Eileanan Siar,2018/19
2019-03-31,Female,95 and Older,S12000014,All Adults,78,Falkirk,2018/19
2019-03-31,Female,95 and Older,S12000017,All Adults,141,Highland,2018/19
2019-03-31,Female,95 and Older,S12000018,All Adults,41,Inverclyde,2018/19
2019-03-31,Female,95 and Older,S12000020,All Adults,39,Moray,2018/19
2019-03-31,Female,95 and Older,S12000021,All Adults,57,North Ayrshire,2018/19
2019-03-31,Female,95 and Older,S12000023,All Adults,7,Orkney Islands,2018/19
2019-03-31,Female,95 and Older,S12000026,All Adults,57,Scottish Borders,2018/19
2019-03-31,Female,95 and Older,S12000028,All Adults,108,South Ayrshire,2018/19
2019-03-31,Female,95 and Older,S12000029,All Adults,147,South Lanarkshire,2018/19
2019-03-31,Female,95 and Older,S12000030,All Adults,42,Stirling,2018/19
2019-03-31,Female,95 and Older,S12000033,All Adults,96,Aberdeen City,2018/19
2019-03-31,Female,95 and Older,S12000034,All Adults,131,Aberdeenshire,2018/19
2019-03-31,Female,95 and Older,S12000035,All Adults,45,Argyll and Bute,2018/19
2019-03-31,Female,95 and Older,S12000036,All Adults,261,City of Edinburgh,2018/19
2019-03-31,Female,95 and Older,S12000038,All Adults,85,Renfrewshire,2018/19
2019-03-31,Female,95 and Older,S12000040,All Adults,58,West Lothian,2018/19
2019-03-31,Female,95 and Older,S12000041,All Adults,103,Angus,2018/19
2019-03-31,Female,95 and Older,S12000042,All Adults,67,Dundee City,2018/19
2019-03-31,Female,95 and Older,S12000045,All Adults,77,East Dunbartonshire,2018/19
2019-03-31,Female,95 and Older,S12000047,All Adults,212,Fife,2018/19
2019-03-31,Female,95 and Older,S12000048,All Adults,137,Perth and Kinross,2018/19
2019-03-31,Female,95 and Older,S12000049,All Adults,230,Glasgow City,2018/19
2019-03-31,Female,95 and Older,S12000050,All Adults,91,North Lanarkshire,2018/19
2019-03-31,Female,95 and Older,S92000003,All Adults,2668,Scotland,2018/19
2019-03-31,Male,18-64,S12000005,All Adults,27,Clackmannanshire,2018/19
2019-03-31,Male,18-64,S12000006,All Adults,38,Dumfries and Galloway,2018/19
2019-03-31,Male,18-64,S12000008,All Adults,31,East Ayrshire,2018/19
2019-03-31,Male,18-64,S12000010,All Adults,11,East Lothian,2018/19
2019-03-31,Male,18-64,S12000014,All Adults,56,Falkirk,2018/19
2019-03-31,Male,18-64,S12000017,All Adults,139,Highland,2018/19
2019-03-31,Male,18-64,S12000018,All Adults,46,Inverclyde,2018/19
2019-03-31,Male,18-64,S12000019,All Adults,40,Midlothian,2018/19
2019-03-31,Male,18-64,S12000020,All Adults,7,Moray,2018/19
2019-03-31,Male,18-64,S12000021,All Adults,87,North Ayrshire,2018/19
2019-03-31,Male,18-64,S12000026,All Adults,30,Scottish Borders,2018/19
2019-03-31,Male,18-64,S12000028,All Adults,45,South Ayrshire,2018/19
2019-03-31,Male,18-64,S12000029,All Adults,170,South Lanarkshire,2018/19
2019-03-31,Male,18-64,S12000030,All Adults,106,Stirling,2018/19
2019-03-31,Male,18-64,S12000033,All Adults,114,Aberdeen City,2018/19
2019-03-31,Male,18-64,S12000034,All Adults,85,Aberdeenshire,2018/19
2019-03-31,Male,18-64,S12000035,All Adults,0,Argyll and Bute,2018/19
2019-03-31,Male,18-64,S12000036,All Adults,67,City of Edinburgh,2018/19
2019-03-31,Male,18-64,S12000038,All Adults,48,Renfrewshire,2018/19
2019-03-31,Male,18-64,S12000040,All Adults,31,West Lothian,2018/19
2019-03-31,Male,18-64,S12000041,All Adults,23,Angus,2018/19
2019-03-31,Male,18-64,S12000042,All Adults,30,Dundee City,2018/19
2019-03-31,Male,18-64,S12000045,All Adults,11,East Dunbartonshire,2018/19
2019-03-31,Male,18-64,S12000047,All Adults,151,Fife,2018/19
2019-03-31,Male,18-64,S12000048,All Adults,97,Perth and Kinross,2018/19
2019-03-31,Male,18-64,S12000049,All Adults,329,Glasgow City,2018/19
2019-03-31,Male,18-64,S12000050,All Adults,48,North Lanarkshire,2018/19
2019-03-31,Male,18-64,S92000003,All Adults,1872,Scotland,2018/19
2019-03-31,Male,65-74,S12000005,All Adults,23,Clackmannanshire,2018/19
2019-03-31,Male,65-74,S12000006,All Adults,56,Dumfries and Galloway,2018/19
2019-03-31,Male,65-74,S12000008,All Adults,66,East Ayrshire,2018/19
2019-03-31,Male,65-74,S12000010,All Adults,28,East Lothian,2018/19
2019-03-31,Male,65-74,S12000011,All Adults,22,East Renfrewshire,2018/19
2019-03-31,Male,65-74,S12000013,All Adults,9,Na h-Eileanan Siar,2018/19
2019-03-31,Male,65-74,S12000014,All Adults,38,Falkirk,2018/19
2019-03-31,Male,65-74,S12000017,All Adults,122,Highland,2018/19
2019-03-31,Male,65-74,S12000018,All Adults,38,Inverclyde,2018/19
2019-03-31,Male,65-74,S12000020,All Adults,28,Moray,2018/19
2019-03-31,Male,65-74,S12000021,All Adults,50,North Ayrshire,2018/19
2019-03-31,Male,65-74,S12000026,All Adults,25,Scottish Borders,2018/19
2019-03-31,Male,65-74,S12000027,All Adults,7,Shetland Islands,2018/19
2019-03-31,Male,65-74,S12000028,All Adults,41,South Ayrshire,2018/19
2019-03-31,Male,65-74,S12000029,All Adults,167,South Lanarkshire,2018/19
2019-03-31,Male,65-74,S12000030,All Adults,27,Stirling,2018/19
2019-03-31,Male,65-74,S12000033,All Adults,69,Aberdeen City,2018/19
2019-03-31,Male,65-74,S12000034,All Adults,81,Aberdeenshire,2018/19
2019-03-31,Male,65-74,S12000036,All Adults,113,City of Edinburgh,2018/19
2019-03-31,Male,65-74,S12000038,All Adults,62,Renfrewshire,2018/19
2019-03-31,Male,65-74,S12000039,All Adults,30,West Dunbartonshire,2018/19
2019-03-31,Male,65-74,S12000040,All Adults,27,West Lothian,2018/19
2019-03-31,Male,65-74,S12000041,All Adults,42,Angus,2018/19
2019-03-31,Male,65-74,S12000042,All Adults,44,Dundee City,2018/19
2019-03-31,Male,65-74,S12000045,All Adults,31,East Dunbartonshire,2018/19
2019-03-31,Male,65-74,S12000047,All Adults,127,Fife,2018/19
2019-03-31,Male,65-74,S12000048,All Adults,56,Perth and Kinross,2018/19
2019-03-31,Male,65-74,S12000049,All Adults,261,Glasgow City,2018/19
2019-03-31,Male,65-74,S12000050,All Adults,80,North Lanarkshire,2018/19
2019-03-31,Male,65-74,S92000003,All Adults,1816,Scotland,2018/19
2019-03-31,Male,75-84,S12000005,All Adults,41,Clackmannanshire,2018/19
2019-03-31,Male,75-84,S12000006,All Adults,111,Dumfries and Galloway,2018/19
2019-03-31,Male,75-84,S12000008,All Adults,96,East Ayrshire,2018/19
2019-03-31,Male,75-84,S12000010,All Adults,57,East Lothian,2018/19
2019-03-31,Male,75-84,S12000011,All Adults,38,East Renfrewshire,2018/19
2019-03-31,Male,75-84,S12000013,All Adults,23,Na h-Eileanan Siar,2018/19
2019-03-31,Male,75-84,S12000014,All Adults,108,Falkirk,2018/19
2019-03-31,Male,75-84,S12000017,All Adults,161,Highland,2018/19
2019-03-31,Male,75-84,S12000018,All Adults,72,Inverclyde,2018/19
2019-03-31,Male,75-84,S12000019,All Adults,32,Midlothian,2018/19
2019-03-31,Male,75-84,S12000020,All Adults,61,Moray,2018/19
2019-03-31,Male,75-84,S12000021,All Adults,107,North Ayrshire,2018/19
2019-03-31,Male,75-84,S12000023,All Adults,10,Orkney Islands,2018/19
2019-03-31,Male,75-84,S12000026,All Adults,54,Scottish Borders,2018/19
2019-03-31,Male,75-84,S12000027,All Adults,12,Shetland Islands,2018/19
2019-03-31,Male,75-84,S12000028,All Adults,109,South Ayrshire,2018/19
2019-03-31,Male,75-84,S12000029,All Adults,217,South Lanarkshire,2018/19
2019-03-31,Male,75-84,S12000030,All Adults,35,Stirling,2018/19
2019-03-31,Male,75-84,S12000033,All Adults,114,Aberdeen City,2018/19
2019-03-31,Male,75-84,S12000034,All Adults,136,Aberdeenshire,2018/19
2019-03-31,Male,75-84,S12000035,All Adults,38,Argyll and Bute,2018/19
2019-03-31,Male,75-84,S12000036,All Adults,260,City of Edinburgh,2018/19
2019-03-31,Male,75-84,S12000038,All Adults,157,Renfrewshire,2018/19
2019-03-31,Male,75-84,S12000039,All Adults,58,West Dunbartonshire,2018/19
2019-03-31,Male,75-84,S12000040,All Adults,92,West Lothian,2018/19
2019-03-31,Male,75-84,S12000041,All Adults,76,Angus,2018/19
2019-03-31,Male,75-84,S12000042,All Adults,100,Dundee City,2018/19
2019-03-31,Male,75-84,S12000045,All Adults,73,East Dunbartonshire,2018/19
2019-03-31,Male,75-84,S12000047,All Adults,248,Fife,2018/19
2019-03-31,Male,75-84,S12000048,All Adults,109,Perth and Kinross,2018/19
2019-03-31,Male,75-84,S12000049,All Adults,420,Glasgow City,2018/19
2019-03-31,Male,75-84,S12000050,All Adults,160,North Lanarkshire,2018/19
2019-03-31,Male,75-84,S92000003,All Adults,3392,Scotland,2018/19
2019-03-31,Male,85-94,S12000005,All Adults,23,Clackmannanshire,2018/19
2019-03-31,Male,85-94,S12000006,All Adults,127,Dumfries and Galloway,2018/19
2019-03-31,Male,85-94,S12000008,All Adults,69,East Ayrshire,2018/19
2019-03-31,Male,85-94,S12000010,All Adults,72,East Lothian,2018/19
2019-03-31,Male,85-94,S12000011,All Adults,69,East Renfrewshire,2018/19
2019-03-31,Male,85-94,S12000013,All Adults,16,Na h-Eileanan Siar,2018/19
2019-03-31,Male,85-94,S12000014,All Adults,74,Falkirk,2018/19
2019-03-31,Male,85-94,S12000017,All Adults,161,Highland,2018/19
2019-03-31,Male,85-94,S12000018,All Adults,58,Inverclyde,2018/19
2019-03-31,Male,85-94,S12000019,All Adults,40,Midlothian,2018/19
2019-03-31,Male,85-94,S12000020,All Adults,56,Moray,2018/19
2019-03-31,Male,85-94,S12000021,All Adults,91,North Ayrshire,2018/19
2019-03-31,Male,85-94,S12000023,All Adults,10,Orkney Islands,2018/19
2019-03-31,Male,85-94,S12000026,All Adults,55,Scottish Borders,2018/19
2019-03-31,Male,85-94,S12000027,All Adults,17,Shetland Islands,2018/19
2019-03-31,Male,85-94,S12000028,All Adults,94,South Ayrshire,2018/19
2019-03-31,Male,85-94,S12000029,All Adults,184,South Lanarkshire,2018/19
2019-03-31,Male,85-94,S12000030,All Adults,46,Stirling,2018/19
2019-03-31,Male,85-94,S12000033,All Adults,120,Aberdeen City,2018/19
2019-03-31,Male,85-94,S12000034,All Adults,181,Aberdeenshire,2018/19
2019-03-31,Male,85-94,S12000035,All Adults,48,Argyll and Bute,2018/19
2019-03-31,Male,85-94,S12000036,All Adults,300,City of Edinburgh,2018/19
2019-03-31,Male,85-94,S12000038,All Adults,139,Renfrewshire,2018/19
2019-03-31,Male,85-94,S12000039,All Adults,37,West Dunbartonshire,2018/19
2019-03-31,Male,85-94,S12000040,All Adults,91,West Lothian,2018/19
2019-03-31,Male,85-94,S12000041,All Adults,88,Angus,2018/19
2019-03-31,Male,85-94,S12000042,All Adults,80,Dundee City,2018/19
2019-03-31,Male,85-94,S12000045,All Adults,79,East Dunbartonshire,2018/19
2019-03-31,Male,85-94,S12000047,All Adults,255,Fife,2018/19
2019-03-31,Male,85-94,S12000048,All Adults,132,Perth and Kinross,2018/19
2019-03-31,Male,85-94,S12000049,All Adults,290,Glasgow City,2018/19
2019-03-31,Male,85-94,S12000050,All Adults,124,North Lanarkshire,2018/19
2019-03-31,Male,85-94,S92000003,All Adults,3221,Scotland,2018/19
2019-03-31,Male,95 and Older,S12000005,All Adults,0,Clackmannanshire,2018/19
2019-03-31,Male,95 and Older,S12000006,All Adults,15,Dumfries and Galloway,2018/19
2019-03-31,Male,95 and Older,S12000008,All Adults,7,East Ayrshire,2018/19
2019-03-31,Male,95 and Older,S12000010,All Adults,9,East Lothian,2018/19
2019-03-31,Male,95 and Older,S12000014,All Adults,19,Falkirk,2018/19
2019-03-31,Male,95 and Older,S12000017,All Adults,23,Highland,2018/19
2019-03-31,Male,95 and Older,S12000018,All Adults,6,Inverclyde,2018/19
2019-03-31,Male,95 and Older,S12000020,All Adults,6,Moray,2018/19
2019-03-31,Male,95 and Older,S12000021,All Adults,8,North Ayrshire,2018/19
2019-03-31,Male,95 and Older,S12000026,All Adults,11,Scottish Borders,2018/19
2019-03-31,Male,95 and Older,S12000028,All Adults,23,South Ayrshire,2018/19
2019-03-31,Male,95 and Older,S12000029,All Adults,31,South Lanarkshire,2018/19
2019-03-31,Male,95 and Older,S12000030,All Adults,7,Stirling,2018/19
2019-03-31,Male,95 and Older,S12000033,All Adults,18,Aberdeen City,2018/19
2019-03-31,Male,95 and Older,S12000034,All Adults,30,Aberdeenshire,2018/19
2019-03-31,Male,95 and Older,S12000035,All Adults,8,Argyll and Bute,2018/19
2019-03-31,Male,95 and Older,S12000036,All Adults,33,City of Edinburgh,2018/19
2019-03-31,Male,95 and Older,S12000038,All Adults,16,Renfrewshire,2018/19
2019-03-31,Male,95 and Older,S12000040,All Adults,9,West Lothian,2018/19
2019-03-31,Male,95 and Older,S12000041,All Adults,16,Angus,2018/19
2019-03-31,Male,95 and Older,S12000042,All Adults,17,Dundee City,2018/19
2019-03-31,Male,95 and Older,S12000045,All Adults,12,East Dunbartonshire,2018/19
2019-03-31,Male,95 and Older,S12000047,All Adults,47,Fife,2018/19
2019-03-31,Male,95 and Older,S12000048,All Adults,27,Perth and Kinross,2018/19
2019-03-31,Male,95 and Older,S12000049,All Adults,34,Glasgow City,2018/19
2019-03-31,Male,95 and Older,S12000050,All Adults,10,North Lanarkshire,2018/19
2019-03-31,Male,95 and Older,S92000003,All Adults,464,Scotland,2018/19
2021-03-31,Female,18-64,S12000005,All Adults,39,Clackmannanshire,2020/21
2021-03-31,Female,18-64,S12000006,All Adults,11,Dumfries and Galloway,2020/21
2021-03-31,Female,18-64,S12000008,All Adults,28,East Ayrshire,2020/21
2021-03-31,Female,18-64,S12000011,All Adults,46,East Renfrewshire,2020/21
2021-03-31,Female,18-64,S12000013,All Adults,9,Na h-Eileanan Siar,2020/21
2021-03-31,Female,18-64,S12000014,All Adults,35,Falkirk,2020/21
2021-03-31,Female,18-64,S12000017,All Adults,108,Highland,2020/21
2021-03-31,Female,18-64,S12000018,All Adults,28,Inverclyde,2020/21
2021-03-31,Female,18-64,S12000019,All Adults,51,Midlothian,2020/21
2021-03-31,Female,18-64,S12000021,All Adults,37,North Ayrshire,2020/21
2021-03-31,Female,18-64,S12000026,All Adults,23,Scottish Borders,2020/21
2021-03-31,Female,18-64,S12000028,All Adults,48,South Ayrshire,2020/21
2021-03-31,Female,18-64,S12000029,All Adults,92,South Lanarkshire,2020/21
2021-03-31,Female,18-64,S12000030,All Adults,44,Stirling,2020/21
2021-03-31,Female,18-64,S12000033,All Adults,93,Aberdeen City,2020/21
2021-03-31,Female,18-64,S12000034,All Adults,73,Aberdeenshire,2020/21
2021-03-31,Female,18-64,S12000036,All Adults,61,City of Edinburgh,2020/21
2021-03-31,Female,18-64,S12000038,All Adults,41,Renfrewshire,2020/21
2021-03-31,Female,18-64,S12000040,All Adults,35,West Lothian,2020/21
2021-03-31,Female,18-64,S12000041,All Adults,32,Angus,2020/21
2021-03-31,Female,18-64,S12000042,All Adults,26,Dundee City,2020/21
2021-03-31,Female,18-64,S12000045,All Adults,7,East Dunbartonshire,2020/21
2021-03-31,Female,18-64,S12000047,All Adults,109,Fife,2020/21
2021-03-31,Female,18-64,S12000048,All Adults,80,Perth and Kinross,2020/21
2021-03-31,Female,18-64,S12000049,All Adults,200,Glasgow City,2020/21
2021-03-31,Female,18-64,S12000050,All Adults,30,North Lanarkshire,2020/21
2021-03-31,Female,18-64,S92000003,All Adults,1398,Scotland,2020/21
2021-03-31,Female,65-74,S12000006,All Adults,59,Dumfries and Galloway,2020/21
2021-03-31,Female,65-74,S12000008,All Adults,36,East Ayrshire,2020/21
2021-03-31,Female,65-74,S12000011,All Adults,33,East Renfrewshire,2020/21
2021-03-31,Female,65-74,S12000013,All Adults,13,Na h-Eileanan Siar,2020/21
2021-03-31,Female,65-74,S12000014,All Adults,55,Falkirk,2020/21
2021-03-31,Female,65-74,S12000017,All Adults,89,Highland,2020/21
2021-03-31,Female,65-74,S12000018,All Adults,41,Inverclyde,2020/21
2021-03-31,Female,65-74,S12000019,All Adults,35,Midlothian,2020/21
2021-03-31,Female,65-74,S12000021,All Adults,57,North Ayrshire,2020/21
2021-03-31,Female,65-74,S12000026,All Adults,33,Scottish Borders,2020/21
